customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges.Monthly,account_Charges.Total,Contas_Diarias,Churn_Bin,customer_gender_Bin
0002-Orfbo,No,Female,0,Yes,Yes,9,Yes,No,Dsl,No,Yes,No,Yes,Yes,No,One Year,Yes,Mailed Check,65.6,593.3,2.19,0.0,0
0003-Mknfe,No,Male,0,No,No,9,Yes,Yes,Dsl,No,No,No,No,No,Yes,Month-To-Month,No,Mailed Check,59.9,542.4,2.0,0.0,1
0004-Tlhlj,Yes,Male,0,No,No,4,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,73.9,280.85,2.46,1.0,1
0011-Igkff,Yes,Male,1,Yes,No,13,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,98.0,1237.85,3.27,1.0,1
0013-Exchz,Yes,Female,1,Yes,No,3,Yes,No,Fiber Optic,No,No,No,Yes,Yes,No,Month-To-Month,Yes,Mailed Check,83.9,267.4,2.8,1.0,0
0013-Mhzwf,No,Female,0,No,Yes,9,Yes,No,Dsl,No,No,No,Yes,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),69.4,571.45,2.31,0.0,0
0013-Smeoe,No,Female,1,Yes,No,71,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Transfer (Automatic),109.7,7904.25,3.66,0.0,0
0014-Bmaqu,No,Male,0,Yes,No,63,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Two Year,Yes,Credit Card (Automatic),84.65,5377.8,2.82,0.0,1
0015-Uocoj,No,Female,1,No,No,7,Yes,No,Dsl,Yes,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,48.2,340.35,1.61,0.0,0
0016-Qljis,No,Female,0,Yes,Yes,65,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Mailed Check,90.45,5957.9,3.02,0.0,0
0017-Dinoc,No,Male,0,No,No,54,No,No Phone Service,Dsl,Yes,No,No,Yes,Yes,No,Two Year,No,Credit Card (Automatic),45.2,2460.55,1.51,0.0,1
0017-Iudmw,No,Female,0,Yes,Yes,72,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card (Automatic),116.8,8456.75,3.89,0.0,0
0018-Nyrou,No,Female,0,Yes,No,5,Yes,No,Fiber Optic,No,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,68.95,351.5,2.3,0.0,0
0019-Efaep,No,Female,0,No,No,72,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Two Year,Yes,Bank Transfer (Automatic),101.3,7261.25,3.38,0.0,0
0019-Gfntw,No,Female,0,No,No,56,No,No Phone Service,Dsl,Yes,Yes,Yes,Yes,No,No,Two Year,No,Bank Transfer (Automatic),45.05,2560.1,1.5,0.0,0
0020-Inwck,No,Female,0,Yes,Yes,71,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Two Year,Yes,Credit Card (Automatic),95.75,6849.4,3.19,0.0,0
0020-Jdnxp,No,Female,0,Yes,Yes,34,No,No Phone Service,Dsl,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Mailed Check,61.25,1993.2,2.04,0.0,0
0021-Ikxgc,No,Female,1,No,No,1,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,72.1,72.1,2.4,0.0,0
0022-Tcjci,Yes,Male,1,No,No,45,Yes,No,Dsl,Yes,No,Yes,No,No,Yes,One Year,No,Credit Card (Automatic),62.7,2791.5,2.09,1.0,1
0023-Hghwl,Yes,Male,1,No,No,1,No,No Phone Service,Dsl,No,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,25.1,25.1,0.84,1.0,1
0023-Uyupn,No,Female,1,Yes,No,50,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Electronic Check,25.2,1306.3,0.84,0.0,0
0023-Xuopt,Yes,Female,0,Yes,No,13,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-To-Month,No,Electronic Check,94.1,1215.6,3.14,1.0,0
0027-Kwykw,No,Female,0,Yes,Yes,23,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,83.75,1849.95,2.79,0.0,0
0030-Fnxpp,No,Female,0,No,No,3,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Mailed Check,19.85,57.2,0.66,0.0,0
0031-Pvlzi,Yes,Female,0,Yes,Yes,4,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Mailed Check,20.35,76.35,0.68,1.0,0
0032-Pgels,Yes,Female,0,Yes,Yes,1,No,No Phone Service,Dsl,Yes,No,No,No,No,No,Month-To-Month,No,Bank Transfer (Automatic),30.5,30.5,1.02,1.0,0
0036-Ihmot,No,Female,0,Yes,Yes,55,Yes,No,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Transfer (Automatic),103.7,5656.75,3.46,0.0,0
0040-Halcw,No,Male,0,Yes,Yes,54,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card (Automatic),20.4,1090.6,0.68,0.0,1
0042-Jvwoj,No,Male,0,No,No,26,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Bank Transfer (Automatic),19.6,471.85,0.65,0.0,1
0042-Rlhyp,No,Female,0,Yes,Yes,69,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Transfer (Automatic),19.7,1396.9,0.66,0.0,0
0047-Zhdtw,,Female,0,No,No,11,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),79.0,929.3,2.63,0.0,0
0048-Lumls,No,Male,0,Yes,Yes,37,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,One Year,No,Credit Card (Automatic),91.2,3247.55,3.04,0.0,1
0048-Pihnl,No,Female,0,Yes,No,49,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Transfer (Automatic),20.45,900.9,0.68,0.0,0
0052-Dckon,No,Male,0,Yes,No,66,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Transfer (Automatic),115.8,7942.15,3.86,0.0,1
0052-Ynyot,No,Female,0,No,No,67,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Electronic Check,20.55,1343.4,0.68,0.0,0
0056-Epfbg,No,Male,0,Yes,Yes,20,No,No Phone Service,Dsl,Yes,No,Yes,Yes,No,No,Two Year,Yes,Credit Card (Automatic),39.4,825.4,1.31,0.0,1
0057-Qbuqh,No,Female,0,No,Yes,43,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Electronic Check,25.1,1070.15,0.84,0.0,0
0058-Evzwm,No,Female,0,Yes,No,55,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),89.8,4959.6,2.99,0.0,0
0060-Fualy,No,Female,0,Yes,No,59,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,94.75,5597.65,3.16,0.0,0
0064-Sudog,No,Female,0,Yes,Yes,12,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Transfer (Automatic),20.3,224.5,0.68,0.0,0
0064-Yijgf,No,Male,0,Yes,Yes,27,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),75.75,1929,2.52,0.0,1
0067-Dkwbl,Yes,Male,1,No,No,2,Yes,No,Dsl,Yes,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,49.25,91.1,1.64,1.0,1
0068-Figtf,No,Female,0,No,No,27,Yes,No,Dsl,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Mailed Check,78.2,2078.95,2.61,0.0,0
0071-Ndafp,No,Male,0,Yes,Yes,25,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card (Automatic),25.5,630.6,0.85,0.0,1
0074-Hdkdg,No,Male,0,Yes,Yes,25,Yes,No,Dsl,Yes,Yes,Yes,No,No,No,One Year,Yes,Bank Transfer (Automatic),61.6,1611,2.05,0.0,1
0076-Lveps,No,Male,0,No,Yes,29,No,No Phone Service,Dsl,Yes,Yes,Yes,Yes,No,No,Month-To-Month,Yes,Mailed Check,45.0,1242.45,1.5,0.0,1
0078-Xzmht,No,Male,0,Yes,No,72,Yes,Yes,Dsl,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Transfer (Automatic),85.15,6316.2,2.84,0.0,1
0080-Emyvy,No,Female,0,No,No,14,Yes,No,Dsl,No,Yes,No,No,No,No,One Year,No,Credit Card (Automatic),51.45,727.85,1.72,0.0,0
0080-Orozo,No,Female,0,No,No,35,Yes,No,Fiber Optic,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Electronic Check,99.25,3532,3.31,0.0,0
0082-Ldzue,No,Male,0,No,No,1,Yes,No,Dsl,No,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,44.3,44.3,1.48,0.0,1
0082-Oqiqy,No,Male,0,No,No,29,Yes,No,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,94.2,2607.6,3.14,0.0,1
0083-Pivik,No,Male,0,No,No,64,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,No,One Year,No,Electronic Check,81.25,5567.55,2.71,0.0,1
0089-Iiqko,No,Female,0,Yes,Yes,39,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),99.95,3767.4,3.33,0.0,0
0093-Exyql,No,Female,1,No,No,40,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,91.55,3673.6,3.05,0.0,0
0093-Xwzfy,Yes,Male,0,No,No,40,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),104.5,4036.85,3.48,1.0,1
0094-Oifmo,Yes,Female,1,No,No,11,Yes,No,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,95.0,1120.3,3.17,1.0,0
0096-Bxers,No,Female,0,Yes,No,6,Yes,Yes,Dsl,No,No,No,No,No,No,Month-To-Month,No,Electronic Check,50.35,314.55,1.68,0.0,0
0096-Fcpuf,No,Male,0,No,No,30,Yes,Yes,Dsl,Yes,No,No,No,No,Yes,Month-To-Month,Yes,Mailed Check,64.5,1888.45,2.15,0.0,1
0098-Bowso,No,Male,0,No,No,27,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,Yes,Electronic Check,19.4,529.8,0.65,0.0,1
0100-Duvfc,No,Male,1,Yes,No,70,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,One Year,Yes,Electronic Check,104.8,7308.95,3.49,0.0,1
0103-Csitq,No,Female,0,Yes,No,57,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Transfer (Automatic),109.4,6252.7,3.65,0.0,0
0104-Ppxdv,No,Male,0,Yes,No,58,Yes,No,Dsl,No,No,Yes,No,No,No,One Year,No,Credit Card (Automatic),50.3,2878.55,1.68,0.0,1
0106-Ghrqr,No,Male,0,No,No,16,Yes,Yes,Dsl,No,Yes,Yes,No,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),71.4,1212.1,2.38,0.0,1
0106-Ugrdo,No,Female,0,Yes,No,69,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Electronic Check,116.0,8182.85,3.87,0.0,0
0107-Weslm,Yes,Male,0,No,No,1,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,Yes,Electronic Check,19.85,19.85,0.66,1.0,1
0107-Yhina,Yes,Male,0,No,Yes,1,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,99.75,99.75,3.32,1.0,1
0111-Klbqg,No,Male,1,Yes,Yes,32,Yes,No,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Mailed Check,93.95,2861.45,3.13,0.0,1
0112-Qawrz,No,Male,0,Yes,Yes,16,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),90.8,1442.2,3.03,0.0,1
0112-Qwpnc,Yes,Male,0,Yes,No,49,Yes,Yes,Dsl,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Electronic Check,84.35,4059.35,2.81,1.0,1
0114-Igabw,No,Female,0,Yes,No,71,No,No Phone Service,Dsl,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Transfer (Automatic),58.25,4145.9,1.94,0.0,0
0114-Pegzz,No,Female,0,No,No,33,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,No,Electronic Check,107.55,3645.5,3.58,0.0,0
0114-Rsrrw,No,Female,0,Yes,No,10,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,Yes,Bank Transfer (Automatic),19.95,187.75,0.66,0.0,0
0115-Tfert,Yes,Male,0,Yes,No,21,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,111.2,2317.1,3.71,1.0,1
0117-Lfrmw,Yes,Male,0,Yes,Yes,37,No,No Phone Service,Dsl,Yes,Yes,Yes,No,No,No,Month-To-Month,No,Bank Transfer (Automatic),40.2,1448.8,1.34,1.0,1
0118-Jpnoy,No,Female,1,No,No,26,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Month-To-Month,Yes,Credit Card (Automatic),85.8,2193.65,2.86,0.0,0
0120-Yzlqa,,Male,0,No,No,71,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Credit Card (Automatic),19.9,1355.1,0.66,0.0,1
0121-Snyrk,No,Male,0,No,No,50,No,No Phone Service,Dsl,Yes,No,No,Yes,No,No,One Year,Yes,Mailed Check,35.4,1748.9,1.18,0.0,1
0122-Oahpz,Yes,Female,0,No,No,7,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,73.85,511.25,2.46,1.0,0
0123-Crbrt,No,Female,0,Yes,Yes,61,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,5526.75,2.94,0.0,0
0125-Lzqxk,Yes,Male,0,No,No,15,Yes,No,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,101.35,1553.95,3.38,1.0,1
0128-Mkwsg,No,Female,0,No,Yes,26,No,No Phone Service,Dsl,Yes,No,No,Yes,No,Yes,Month-To-Month,No,Mailed Check,45.8,1147,1.53,0.0,0
0129-Kptwj,No,Male,0,Yes,No,72,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,94.65,6747.35,3.16,0.0,1
0129-Qmpdr,No,Male,0,Yes,Yes,44,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Bank Transfer (Automatic),20.5,865.05,0.68,0.0,1
0130-Sxoun,No,Male,0,No,No,66,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-To-Month,No,Credit Card (Automatic),89.4,5976.9,2.98,0.0,1
